id,annotation
KAF5853878.1,hypothetical protein GGP41_006650
MQL72763.1,hypothetical protein
TKA64336.1,hypothetical protein B0A49_12833
TKA64336.1,hypothetical protein B0A49_12833
PZN69419.1,hypothetical protein DM484_29805
HJC29271.1,DivIVA domain-containing protein
XP_019009311.1,hypothetical protein I206_05959
XP_016522229.1,PREDICTED: SWI/SNF global transcription activator complex subunit snf59-like
XP_014290291.1,basic proline-rich protein isoform X3
XP_014290291.1,basic proline-rich protein isoform X3
RTL45208.1,hypothetical protein EKK48_03895
MBP6837768.1,hypothetical protein
MBP6837768.1,hypothetical protein
XP_024262281.2,putative P2Y purinoceptor 10 isoform X2
WP_108680978.1,hypothetical protein
WP_108680978.1,hypothetical protein
PNX75838.1,proline-rich protein
XP_046665464.1,glycine-rich cell wall structural protein 
XP_046665464.1,glycine-rich cell wall structural protein 
QDU01398.1,MotA/TolQ/ExbB proton channel family protein
RMC22631.1,hypothetical protein DUI87_00358
RMC22631.1,hypothetical protein DUI87_00358
NWF58922.1,HEAT repeat domain-containing protein
APR82291.1,plectin 1 isoform 8
MBC7358005.1,DUF1640 domain-containing protein
XP_034488857.1,proline-rich receptor-like protein kinase PERK2
MBI3743981.1,hypothetical protein
WP_154482264.1,hypothetical protein
XP_037164718.1,uncharacterized protein HO173_006543
MBS3817015.1,hypothetical protein
EOX98690.1,Uncharacterized protein TCM_047110
WP_129521376.1,hypothetical protein
WP_075688569.1,phage tail tape measure protein
WP_075688569.1,phage tail tape measure protein
MBO7309494.1,phage tail tape measure protein
RKU19007.1,hypothetical protein C6501_01665
NNE10937.1,hypothetical protein
MBX5490871.1,hypothetical protein
KAH9173905.1,ankyrin repeat-containing domain protein
KAF9374479.1,hypothetical protein CPB97_012073
MYG15104.1,DUF1640 domain-containing protein
XP_005793368.1,hypothetical protein EMIHUDRAFT_250979
MBA2793094.1,hypothetical protein
MBK8434521.1,hypothetical protein
HGM98036.1,transcription termination/antitermination protein NusA
KAF4043556.1,hypothetical protein GN244_ATG04167
MBR0235225.1,DivIVA domain-containing protein
MBP5460985.1,hypothetical protein
EKD52080.1,hypothetical protein ACD_62C00124G0016
GFR99216.1,Dyp-type peroxidase YfeX-like protein
GFR99216.1,Dyp-type peroxidase YfeX-like protein
WP_226613590.1,CBS domain-containing protein
ATU82448.1,venom hemolysin-like protein 3
ORZ07104.1,hypothetical protein BCR42DRAFT_154079
ORZ07104.1,hypothetical protein BCR42DRAFT_154079
MBO7735632.1,phage tail tape measure protein
NBU81672.1,hypothetical protein
MBO7452208.1,hypothetical protein
KAF3332738.1,putative nuclear matrix constituent protein 1-like protein
XP_024655906.1,deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like
WP_204698829.1,hypothetical protein
RHN61870.1,hypothetical protein MtrunA17_Chr4g0041321
CAD6243340.1,GSCOCT0001303800
MBU0662440.1,DNA primase
XP_042916529.1,uncharacterized protein CHLRE_15g641527v5
XP_042916529.1,uncharacterized protein CHLRE_15g641527v5
MBM3545519.1,hypothetical protein
XP_007727494.1,hypothetical protein A1O1_08442
MBQ8269571.1,hypothetical protein
XP_034023321.1,galactose-specific cell agglutination protein gsf2-like isoform X1
WP_133131962.1,hypothetical protein
XP_001663160.2,uncharacterized protein LOC5577063 isoform X1
CAB4461286.1,unnamed protein product
XP_043201191.1,C-type lectin domain family 4 member F-like
PZC82891.1,hypothetical protein B5X24_HaOG209334
MBW2733828.1,hypothetical protein
WP_238095011.1,zinc ribbon domain-containing protein
MQG24424.1,30S ribosomal protein S2
MBR0388142.1,hypothetical protein
MBO6177213.1,hypothetical protein
KAF1829952.1,hypothetical protein BDW02DRAFT_124668
MCB0899783.1,hypothetical protein
KAF4315534.1,hypothetical protein G195_010962
MCB9188240.1,hypothetical protein
XP_046683427.1,LOW QUALITY PROTEIN: uncharacterized protein LOC124369463
MAZ24913.1,hypothetical protein
XP_042473802.1,uncharacterized protein LOC122056087 isoform X1
MAC33928.1,hypothetical protein
CAG2237069.1,unnamed protein product
GIY54025.1,hypothetical protein CDAR_67401
CAE8622737.1,unnamed protein product
WP_063243012.1,hypothetical protein
RLV95709.1,hypothetical protein JA1_000714
XP_028331502.1,formin-2
EMP25476.1,Vitamin D3 hydroxylase-associated protein
XP_007413836.1,uncharacterized protein MELLADRAFT_90508
WP_225005546.1,hypothetical protein
DAI68032.1,TPA: MAG TPA: tail tape measure protein
MBA2317608.1,hypothetical protein
RXM35981.1,Muscle M-line assembly protein unc-89
DAZ71409.1,TPA: MAG TPA: minor tail protein
MBO0699292.1,HEAT repeat domain-containing protein
KAH8890026.1,hypothetical protein GQ53DRAFT_794983
WP_239097566.1,HAMP domain-containing histidine kinase
MBE9514096.1,hypothetical protein
QGJ71021.1,Hypothetical protein PBC10988_27240
PYS62273.1,hypothetical protein DMF74_13820
DAU00087.1,TPA: MAG TPA: hypothetical protein
MBR5864824.1,hypothetical protein
XP_001314215.1,hypothetical protein
MBI5515810.1,OmpA family protein
MCB9276564.1,methionine synthase
PYR91526.1,hypothetical protein DMF84_16540
MBP5411359.1,hypothetical protein
MBP5411359.1,hypothetical protein
GFO42429.1,polymorphic mucin truncated splice variant c3/2/40r2
WP_195187220.1,hypothetical protein
HBV84389.1,hypothetical protein
HBV84389.1,hypothetical protein
WP_026338339.1,hypothetical protein
MCA1715679.1,hypothetical protein
WP_116051675.1,hypothetical protein
RCK71695.1,hypothetical protein IGBAC_0786
XP_033741826.1,uncharacterized protein LOC117328406
MBI4835523.1,HEAT repeat domain-containing protein
WP_166288820.1,peptidoglycan DD-metalloendopeptidase family protein
WP_166288820.1,peptidoglycan DD-metalloendopeptidase family protein
MBW3589253.1,hypothetical protein
MBW3589253.1,hypothetical protein
WP_143232908.1,hypothetical protein
MBS1471213.1,apolipoprotein A1/A4/E family protein
VZI46960.1,unnamed protein product
TQN70380.1,hypothetical protein CSHISOI_05111
WP_239002715.1,AAA family ATPase
GGG23764.1,hypothetical protein GCM10007304_42050
HIZ29221.1,hypothetical protein
MBQ2114139.1,hypothetical protein
MBQ2114139.1,hypothetical protein
XP_018009143.1,PREDICTED: mucin-5AC-like
NJP07776.1,hypothetical protein
RXG45726.1,hypothetical protein VDGE_00306
XP_015073376.1,extensin-2
BAP58875.1,putative protease YbbK
UCE38150.1,MAG: hypothetical protein JSW00_02625
MBC9869842.1,hypothetical protein
MBQ8267857.1,hypothetical protein
WP_050428551.1,hypothetical protein
WP_139967326.1,phage tail tape measure protein
MBK8797333.1,DUF3618 domain-containing protein
WP_237380227.1,hypothetical protein
NLB11642.1,DNA recombination protein RmuC
MBI1844933.1,DivIVA domain-containing protein
PID66010.1,hypothetical protein CR975_05095
HAD79391.1,GTPase
MBW2444785.1,hypothetical protein
OGS62262.1,hypothetical protein A3K59_07665
WP_190765208.1,histidine kinase
NOZ86212.1,hypothetical protein
KZM80585.1,hypothetical protein DCAR_032070
KAG0226242.1,hypothetical protein BGW41_004239
WP_059068411.1,hypothetical protein
DAT29692.1,TPA: MAG TPA: tail tape measure protein
KAF7552638.1,hypothetical protein G7Z17_g4173
MCD8372260.1,hypothetical protein
MBP5934835.1,hypothetical protein
XP_036368588.1,serine-rich adhesin for platelets-like isoform X2
XP_037556972.1,protein disabled-like isoform X7
XP_004988892.1,uncharacterized protein PTSG_13060
MBI4121549.1,hypothetical protein
MBI4585036.1,HEAT repeat domain-containing protein
MBP1749593.1,hypothetical protein
XP_045487426.1,collagen alpha-1(III) chain-like isoform X2
XP_023703952.1,uncharacterized protein LOC111862650
MBK0139136.1,choline-binding protein A
SYZ66451.1,hypothetical_protein
MBT9145894.1,hypothetical protein
KAE8279587.1,hypothetical protein D5F01_LYC21710
XP_044755923.1,uncharacterized protein LOC123314685
WP_092838268.1,hypothetical protein
UKZ11249.1,hypothetical protein EhVM1_000234
WP_154477315.1,hypothetical protein
WP_200350104.1,hypothetical protein
DAP44073.1,TPA: MAG TPA: tail tape measure
DAP44073.1,TPA: MAG TPA: tail tape measure
DAO42243.1,TPA: MAG TPA: Minor tail protein
AIE98495.1,hypothetical protein
WP_161025370.1,hypothetical protein
HFL55417.1,hypothetical protein
MBI2371359.1,DUF1640 domain-containing protein
HDQ73018.1,HAMP domain-containing histidine kinase
CDJ91577.1,unknown
KYF38276.1,DNA recombination protein RmuC
MBS7311285.1,hypothetical protein
MBS7311285.1,hypothetical protein
WP_215756968.1,phage tail tape measure protein
HBE93462.1,hypothetical protein
MBQ3969252.1,hypothetical protein
WP_026698733.1,hypothetical protein
WP_026698733.1,hypothetical protein
MBC7130396.1,restriction endonuclease
DAE58961.1,TPA: MAG TPA: tail tape measure
RXM94376.1,RAD50-interacting protein 1
ANC33046.1,GLAND18-3-4
WP_201561172.1,hypothetical protein
MBQ1894874.1,hypothetical protein
OFZ23319.1,hypothetical protein A2X94_03715
RSV12316.1,phage tail tape measure protein
BAQ90475.1,portal protein
MBD5426405.1,ankyrin repeat domain-containing protein
KAH9100534.1,hypothetical protein Ae201684P_006731
KAH9100534.1,hypothetical protein Ae201684P_006731
QZT28417.1,hypothetical protein K6969_06735
MBM3771824.1,ankyrin repeat domain-containing protein
XP_014179381.1,hypothetical protein A1Q1_02645
PET77598.1,hypothetical protein CN514_00965
MBR2987941.1,hypothetical protein
WP_057632519.1,hypothetical protein
XP_046896582.1,uncharacterized protein LOC124480947
NUT90861.1,hypothetical protein
MBP8713959.1,hypothetical protein
WP_132351811.1,hypothetical protein
WP_132351811.1,hypothetical protein
XP_034029013.1,uncharacterized protein LOC117512882
XP_046998180.1,uncharacterized protein LOC124613514
MBX3229487.1,hypothetical protein
XP_045614209.1,TAL effector protein PthXo1-like
HEY94852.1,hypothetical protein
WP_168778735.1,phage tail tape measure protein
MBY8853466.1,hypothetical protein
MBI2029999.1,apolipoprotein A1/A4/E family protein
KAF8936036.1,hypothetical protein BGZ58_004663
XP_046552651.1,serine/arginine repetitive matrix protein 1-like
XP_006899909.1,PREDICTED: coiled-coil domain-containing protein 86
YP_009802008.1,tape measure protein
MBQ7252730.1,hypothetical protein
CAG9531028.1,unnamed protein product
MBI4385861.1,hypothetical protein
WP_207825229.1,phage tail length tape measure family protein
WP_144856867.1,heterodisulfide reductase-related iron-sulfur binding cluster
KAG0439448.1,hypothetical protein DMUE_2420
WP_131202611.1,phage tail tape measure protein
XP_045583527.1,uncharacterized protein LOC123746244
KAF8370611.1,hypothetical protein PRIPAC_77040
WP_165943280.1,hypothetical protein
WP_022882882.1,hypothetical protein
MBR1728974.1,hypothetical protein
BAZ27610.1,putative signal transduction protein containing Nacht domain
WP_050429646.1,serine/threonine protein kinase
CAG9130562.1,unnamed protein product
WP_133850656.1,hypothetical protein
KAF8423681.1,hypothetical protein BGX38DRAFT_1279600
KAF3848433.1,hypothetical protein F7725_014930
KAF3848433.1,hypothetical protein F7725_014930
MBI2711316.1,hypothetical protein
XP_016585607.1,hypothetical protein SPSK_03845
HIZ80720.1,phage tail tape measure protein
WP_143203522.1,hypothetical protein
XP_034894298.1,embryonic protein DC-8
MBQ1907722.1,zinc-ribbon domain-containing protein
KAG2499010.1,hypothetical protein HYH03_003196
MBR1439168.1,hypothetical protein
WP_207793397.1,hypothetical protein
RJP71981.1,ankyrin repeat domain-containing protein
MBQ37424.1,hypothetical protein
WP_052252734.1,tape measure protein
PWL97409.1,phage tail tape measure protein
WP_190453018.1,DUF2382 domain-containing protein
MBR3267961.1,hypothetical protein
MBR3267961.1,hypothetical protein
KAF5842759.1,hypothetical protein DUNSADRAFT_5131
XP_032830997.1,ankyrin repeat domain-containing protein 42
WP_020558932.1,cell envelope integrity protein TolA
MBQ9866327.1,phosphotransferase
XP_028967939.1,nucleobindin-2
TWW73920.1,Dipeptidyl aminopeptidase-like protein 6 DPPX
WP_082034056.1,spore coat protein
NBC21586.1,hypothetical protein
MBI5597513.1,hypothetical protein
HHU74408.1,hypothetical protein
WP_184652914.1,hypothetical protein
WP_184652914.1,hypothetical protein
PYQ83667.1,hypothetical protein DMG02_33370
MCC6476269.1,hypothetical protein
MCC6476269.1,hypothetical protein
WP_172457847.1,hypothetical protein
CAG9173956.1,hypothetical protein LMG23994_02751
WP_187780682.1,DUF3618 domain-containing protein
WP_187780682.1,DUF3618 domain-containing protein
ADE35487.1,hypothetical protein DMIN_02080
WP_241411326.1,AlgP family protein
KAF6034388.1,hypothetical protein EB796_007309
WP_117452034.1,MULTISPECIES: hypothetical protein
WP_117452034.1,MULTISPECIES: hypothetical protein
CDO63625.1,"conserved Plasmodium protein, unknown function"
XP_028739406.1,keratin-associated protein 10-4-like
WP_128896321.1,hypothetical protein
WP_235936336.1,cell division protein
MBN9393798.1,hypothetical protein
WP_091616349.1,PPE domain-containing protein
MCC7246604.1,hypothetical protein
MBL8617781.1,hypothetical protein
WP_208775396.1,tape measure protein
WP_208775396.1,tape measure protein
WP_123925609.1,hypothetical protein
WP_198052905.1,MULTISPECIES: hypothetical protein
KAE8612884.1,hypothetical protein XENTR_v10013028
MTA25496.1,hypothetical protein
WP_010415791.1,hypothetical protein
MBQ1484108.1,phage portal protein
KAG9126303.1,hypothetical protein FRC07_004041
OWK60198.1,Protein SFI1
TMJ31412.1,hypothetical protein E6G88_05490
MCF6147415.1,hypothetical protein
WP_072727181.1,hypothetical protein
NNC67244.1,hypothetical protein
NQK20093.1,phage tail tape measure protein
NQK20093.1,phage tail tape measure protein
NQK20093.1,phage tail tape measure protein
CAF0808564.1,unnamed protein product
CAE1282930.1,unnamed protein product
WP_086182239.1,hypothetical protein
MBR6284686.1,hypothetical protein
WP_020475369.1,hypothetical protein
MBS1994076.1,hypothetical protein
KYD23907.1,hypothetical protein B4113_3272
MBI5366682.1,HEAT repeat domain-containing protein
MBI5366682.1,HEAT repeat domain-containing protein
HJB89541.1,DivIVA domain-containing protein
CAG9094108.1,unnamed protein product
XP_033967871.1,uncharacterized protein LOC117468027 isoform X1
MCD6496510.1,hypothetical protein
WP_117161432.1,hypothetical protein
KAG5639737.1,hypothetical protein H0H81_000017
KAG5639737.1,hypothetical protein H0H81_000017
MCC7039318.1,hypothetical protein
XP_030848270.1,arginine/serine-rich coiled-coil protein 2 isoform X2
KAH9489470.1,hypothetical protein Btru_037730
MBR3041051.1,hypothetical protein
MBP1736248.1,hypothetical protein
KAF0694059.1,hypothetical protein As57867_014973
AFA40391.1,Apolipophorin-III precursor (apoLp-III)
MBL8617747.1,hypothetical protein
MBO7611138.1,ACGX-repeat peptide
KAG1693762.1,Arginine/serine-rich coiled-coil protein 2
CAF1205417.1,unnamed protein product
MBU3808659.1,hypothetical protein
RHR71061.1,hypothetical protein DWW77_02865
WP_135024382.1,hypothetical protein
MBD5304717.1,hypothetical protein
WP_211533629.1,LEA domain-containing protein
ABR18130.1,unknown
WP_207717777.1,phage tail tape measure protein
WP_078699268.1,DivIVA domain-containing protein
MCE3234080.1,hypothetical protein
MCB1144470.1,hypothetical protein
WP_163180762.1,DUF5667 domain-containing protein
CAB3460283.1,unnamed protein product
MBQ4631761.1,hypothetical protein
ELU14104.1,hypothetical protein CAPTEDRAFT_125217
MCB0663699.1,hypothetical protein
WP_226042774.1,hypothetical protein
CEL73879.1,"TPA: protein phosphatase 2C, putative"
MBM6411805.1,phage tail protein
CAE7040073.1,Gbp5
WP_188243966.1,hypothetical protein
WP_188243966.1,hypothetical protein
WP_188243966.1,hypothetical protein
WP_028059337.1,DivIVA domain-containing protein
WP_039941434.1,hypothetical protein
MBO4972793.1,cadmium-translocating P-type ATPase
WP_087726696.1,YadA-like family protein
WP_087726696.1,YadA-like family protein
WP_087726696.1,YadA-like family protein
WP_087726696.1,YadA-like family protein
MBI1274333.1,hypothetical protein
XP_013352394.1,uncharacterized protein EMH_0053040
WP_007569344.1,methyl-accepting chemotaxis protein
NMB36369.1,hypothetical protein
MBC7417078.1,YtxH domain-containing protein
WP_000191307.1,LPXTG cell wall anchor domain-containing protein
WP_241206926.1,CsbD family protein
XP_026806518.1,homeobox protein 2-like
WP_204113981.1,hypothetical protein
XP_010674693.1,PREDICTED: uncharacterized protein LOC104890799
VUC23199.1,unnamed protein product
VUC23199.1,unnamed protein product
WP_085444395.1,hypothetical protein
PSP17070.1,hypothetical protein BRC58_07530
MBS3781322.1,hypothetical protein
MBQ6657129.1,ankyrin repeat domain-containing protein
MBQ6657129.1,ankyrin repeat domain-containing protein
MBQ6657129.1,ankyrin repeat domain-containing protein
MBK8965765.1,DUF4157 domain-containing protein
MBM64182.1,hypothetical protein
XP_042460323.1,serine/arginine repetitive matrix protein 1-like
WP_062056992.1,hypothetical protein
XP_001009566.2,hypothetical protein TTHERM_00372350
XP_001009566.2,hypothetical protein TTHERM_00372350
XP_033755804.1,uncharacterized protein LOC117338554
MBQ2349697.1,hypothetical protein
UCE13215.1,MAG: hypothetical protein JSV04_13635
UCE13215.1,MAG: hypothetical protein JSV04_13635
GCC41013.1,hypothetical protein
KAG7319602.1,hypothetical protein KOW79_016745
HIR69973.1,hypothetical protein
NLB15976.1,hypothetical protein
NQT12867.1,hypothetical protein
KAH0787968.1,hypothetical protein GPJ56_008124
KAF8474310.1,hypothetical protein JB92DRAFT_3052444
XP_045596453.1,uncharacterized protein LOC123757111
XP_019429399.1,PREDICTED: protein CROWDED NUCLEI 3 isoform X2
XP_046659233.1,zinc finger protein 551-like
XP_046659233.1,zinc finger protein 551-like
KAH3830343.1,hypothetical protein DPMN_103585
WP_055150904.1,MULTISPECIES: zinc ribbon domain-containing protein
MBI3552542.1,hypothetical protein
PSC71061.1,P-loop containing nucleoside triphosphate hydrolases superfamily isoform 1 isoform A
PSC71061.1,P-loop containing nucleoside triphosphate hydrolases superfamily isoform 1 isoform A
QGJ95972.1,tape measure protein
WP_141635327.1,hypothetical protein
WP_215609711.1,DUF4157 domain-containing protein
ONI43467.1,hypothetical protein AN641_09925
PRP80687.1,hypothetical protein PROFUN_11646
NMA67785.1,phage tail tape measure protein
GIR27981.1,hypothetical protein CM15mP42_09310
MBE2204213.1,DUF883 family protein
MBV8971289.1,CsbD family protein
TAJ55021.1,hypothetical protein EPO48_02400
NRA90226.1,hypothetical protein
EPQ16675.1,Periaxin
CAF3479377.1,unnamed protein product
KAF8512223.1,hypothetical protein BU17DRAFT_96494
EWH02006.1,hypothetical protein Q427_11105
NLE67955.1,hypothetical protein
PLN75014.1,hypothetical protein BDW42DRAFT_189504
QBK91991.1,F-box domain and ankyrin repeat protein
WP_094907754.1,phage tail tape measure protein
DAL73757.1,TPA: MAG TPA: minor tail protein
WP_207519435.1,tape measure protein
EDX08023.1,GD25221
OQA46492.1,Phage-related minor tail protein
DAK15279.1,TPA: MAG TPA: tail tape measure protein
MCE2905229.1,DUF4157 domain-containing protein
MCE2905229.1,DUF4157 domain-containing protein
MBO4793788.1,hypothetical protein
AZF88278.1,tape measure protein
WP_135209550.1,hypothetical protein
WP_005978044.1,hypothetical protein
WP_240006633.1,hypothetical protein
WP_240006633.1,hypothetical protein
XP_041562646.1,uncharacterized protein APUU_80763A
CAD7275541.1,unnamed protein product
PPF37526.1,hypothetical protein C5E05_07300
PPF37526.1,hypothetical protein C5E05_07300
HJC73216.1,hypothetical protein
HJC73216.1,hypothetical protein
MBL8703327.1,hypothetical protein
CAE1323278.1,unnamed protein product
ORX44713.1,hypothetical protein BCR36DRAFT_586074
CEM20904.1,unnamed protein product
OCX15402.1,hypothetical protein BBI09_16675
XP_018905102.1,PREDICTED: microtubule-associated protein futsch-like
MBP6995848.1,hypothetical protein
KAG5185813.1,hypothetical protein JKP88DRAFT_354084
KAG5185813.1,hypothetical protein JKP88DRAFT_354084
HEB66757.1,DUF4157 domain-containing protein
WP_195129521.1,hypothetical protein
MBM4277039.1,hypothetical protein
KNE66434.1,hypothetical protein AMAG_11572
XP_034308379.1,uncharacterized protein LOC117683312 isoform X3
GFR41979.1,hypothetical protein Agub_g2780
MBR0266081.1,hypothetical protein
TVP88520.1,hypothetical protein EA347_05760
WP_166997034.1,hypothetical protein
GBG90574.1,hypothetical protein CBR_g50917
MBF2759807.1,hypothetical protein
KAG4107615.1,hypothetical protein H8356DRAFT_920657
AOT04957.1,hypothetical protein ASPU41_18175
TDI50820.1,hypothetical protein E2P01_00630
WP_183225454.1,hypothetical protein
MBM3267901.1,hypothetical protein
RYN13577.1,AsmA family/AsmA-like C-terminal region
GFT64337.1,hypothetical protein NPIL_367811
HJB57285.1,hypothetical protein
DAP99193.1,TPA: MAG TPA: hypothetical protein
RMW36087.1,hypothetical protein EA443_01085
OMJ86832.1,hypothetical protein SteCoe_11608
WP_055506062.1,hypothetical protein
PIQ83111.1,hypothetical protein COV76_00155
XP_042199777.1,sialidase-like
XP_034150721.1,pollen-specific leucine-rich repeat extensin-like protein 1
MBI4759854.1,hypothetical protein
KAG8290517.1,hypothetical protein J6590_079931
KAF6722370.1,hypothetical protein FQA47_020371
WP_190114255.1,hypothetical protein
CAG0986229.1,hypothetical protein MYXO_02143
KAH0575999.1,Central repeat-containing protein
WP_157773727.1,hypothetical protein
CAH0553196.1,unnamed protein product
WP_184996662.1,hypothetical protein
THU71093.1,hypothetical protein C4D60_Mb08t31910
KBL39706.1,hypothetical protein T602_01592
XP_022805596.1,death-associated protein kinase 1-like
MBQ1459556.1,sporulation integral membrane protein YtvI
DAZ05327.1,TPA: MAG TPA: tail tape measure protein
WP_086991361.1,tape measure protein
MBS6849269.1,hypothetical protein
MBS6849269.1,hypothetical protein
UCD03109.1,MAG: hypothetical protein JSV63_00535
WP_202552311.1,hypothetical protein
TDP70532.1,hypothetical protein C8E96_6148
XP_028879867.1,uncharacterized protein TM35_000321160
CAA2970452.1,Hypothetical predicted protein
XP_014221707.1,uncharacterized protein LOC106648980 isoform X1
UKI45046.1,hypothetical protein L6U16_06510
WP_020559875.1,TIGR01841 family phasin
WP_214889650.1,phage tail tape measure protein
WP_214889650.1,phage tail tape measure protein
MCD7998775.1,hypothetical protein
MBM7589998.1,spore coat assembly protein SafA
XP_026480207.1,protein PELPK1-like
WP_136959427.1,caspase family protein
HGY84854.1,hypothetical protein
XP_001311094.1,Dynamin central region family protein
WP_133241862.1,hypothetical protein
XP_013071247.1,PREDICTED: uncharacterized protein LOC106058371 isoform X2
MCE2992100.1,ankyrin repeat domain-containing protein
HGF03869.1,hypothetical protein
DAP65455.1,TPA: MAG TPA: tail tape measure protein
MBT7656711.1,T9SS type B sorting domain-containing protein
MCA9580932.1,hypothetical protein
KAH8979562.1,ankyrin repeat-containing domain protein
XP_033607196.1,uncharacterized protein LOC117282271 isoform X2
WP_114910185.1,hypothetical protein
WP_116716079.1,hypothetical protein
WP_052518788.1,AAA family ATPase
MBP0018315.1,hypothetical protein
MBP9207603.1,hypothetical protein
MBR3349158.1,hypothetical protein
DAX57493.1,TPA: MAG TPA: minor tail protein
WP_188164391.1,hypothetical protein
WP_188164391.1,hypothetical protein
NLY01518.1,phage tail tape measure protein
CAG9530084.1,unnamed protein product
XP_027208462.1,uncharacterized protein LOC113802139 isoform X49
NLZ56299.1,phage tail protein
WP_182920501.1,histone
NKA01096.1,hypothetical protein
KAF8241641.1,hypothetical protein K440DRAFT_677756
WP_150436155.1,hypothetical protein
